               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076983,            0.061914,            0.026779,             0.53047,              0.4107,             0.41634,             0.20079,            0.057588,            0.045489,            0.013336,            0.070109,           0.0033212,           0.0033212
                   1,            0.061359,            0.058626,            0.014017,             0.63564,             0.45527,             0.50787,             0.26656,            0.050709,            0.046195,             0.01056,            0.040044,           0.0065886,           0.0065886
                   2,            0.055844,            0.060399,            0.012661,             0.59379,             0.43421,             0.46709,             0.23777,             0.04975,            0.050232,            0.011527,           0.0099117,           0.0097901,           0.0097901
                   3,            0.053642,            0.062666,            0.013011,             0.60039,             0.42554,              0.4641,              0.2402,             0.04925,            0.050667,            0.011011,            0.009703,            0.009703,            0.009703
                   4,            0.051157,            0.061627,            0.012184,             0.61646,             0.45277,             0.48789,             0.26925,            0.047321,            0.047993,            0.010191,            0.009703,            0.009703,            0.009703
                   5,            0.050385,            0.061666,            0.011884,             0.63158,             0.45438,             0.50163,             0.27902,            0.047336,            0.047993,           0.0096255,            0.009604,            0.009604,            0.009604
                   6,            0.049447,              0.0609,            0.011369,             0.62585,             0.47417,             0.51172,             0.28702,            0.046322,            0.047611,           0.0096081,            0.009505,            0.009505,            0.009505
                   7,            0.048909,            0.060421,            0.010994,             0.66142,             0.46159,              0.5215,             0.29384,            0.046075,            0.047129,           0.0090254,            0.009406,            0.009406,            0.009406
                   8,            0.048447,            0.060052,            0.010846,             0.67347,             0.48316,             0.54522,             0.31277,            0.045458,            0.046431,           0.0087238,            0.009307,            0.009307,            0.009307
                   9,            0.047999,            0.059439,            0.010703,             0.65003,             0.47324,             0.52787,              0.3011,            0.045183,            0.046577,           0.0089732,            0.009208,            0.009208,            0.009208
